step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,bottom0_stopped,bottom0_accumulated_waiting_time,bottom0_average_speed,bottom1_stopped,bottom1_accumulated_waiting_time,bottom1_average_speed,left0_stopped,left0_accumulated_waiting_time,left0_average_speed,left1_stopped,left1_accumulated_waiting_time,left1_average_speed,right0_stopped,right0_accumulated_waiting_time,right0_average_speed,right1_stopped,right1_accumulated_waiting_time,right1_average_speed,top0_stopped,top0_accumulated_waiting_time,top0_average_speed,top1_stopped,top1_accumulated_waiting_time,top1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.966268951398959,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9510968696408049,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,9.29401529076468,0,0.0,0.9705170706499109,0,0.0,1.0,0,0.0,0.06868196378802285,0,0.0,0.9572478838654385,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,3,4.0,0.5,7.918158895256799,0,0.0,0.8617259001236096,0,0.0,1.0,2,3.0,0.4840913514364582,1,1.0,0.005795012266591811,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,4.0
20.0,3,16.0,1.6,8.866383130282587,1,2.0,0.6335762072684364,0,0.0,0.9716338482768082,1,5.0,0.652433989346884,1,6.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,13.0
25.0,3,31.0,2.3846153846153846,8.307552376515861,1,7.0,0.6798502208207783,0,0.0,0.929246366806151,1,10.0,0.3807434390813285,1,11.0,0.46364985163204747,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,28.0
30.0,5,52.0,3.466666666666667,7.697490619364141,2,14.0,0.5810046635206315,0,0.0,0.9851220631888925,2,19.0,7.082373166188571e-05,1,16.0,0.48700686213764566,0,0.0,1.0,0,0.0,0.7583324811260724,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,5,49.0
35.0,7,80.0,4.705882352941177,6.879496574126935,4,27.0,0.4696502206359325,0,0.0,0.8172131042645121,2,29.0,0.0,1,21.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,7,77.0
40.0,6,110.0,6.470588235294118,7.067531456502614,3,42.0,0.44109923068372386,0,0.0,0.7530317348169334,2,39.0,0.0,1,26.0,0.4663282593724822,0,0.0,0.7791102564863124,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,6,107.0
45.0,7,142.0,7.473684210526316,6.0159142317784005,3,57.0,0.23088769425140607,1,2.0,0.5456373559566942,2,49.0,0.46530452117998233,1,31.0,0.5257791232851339,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,7,139.0
50.0,10,187.0,8.904761904761905,6.058855627962022,5,81.0,0.3348890726010427,2,8.0,0.32382481093857823,2,59.0,0.40769723953934794,1,36.0,0.5485695640951829,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,10,184.0
