step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,A4_stopped,A4_accumulated_waiting_time,A4_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,C4_stopped,C4_accumulated_waiting_time,C4_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,D4_stopped,D4_accumulated_waiting_time,D4_average_speed,E0_stopped,E0_accumulated_waiting_time,E0_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,E2_stopped,E2_accumulated_waiting_time,E2_average_speed,E3_stopped,E3_accumulated_waiting_time,E3_average_speed,E4_stopped,E4_accumulated_waiting_time,E4_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.813311649050396,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9449970057724705,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.978952520802741,0,0.0,1.0,0,0.0,0.9349949892680569,0,0.0
10.0,1,1.0,0.2,10.992848470603718,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.004891794714945035,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9127091302172355,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9470606198448923,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9483474716104241,0,0.0,1.0,0,0.0,0.9350166268565238,1,1.0
15.0,1,1.0,0.125,8.544371797149198,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9333833491517519,0,0.0,1.0,0,0.0,0.13962416623571358,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5668603861237924,0,0.0,1.0,0,0.0,0.9399793231514354,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9208103130755063,0,0.0,1.0,1,1.0,0.0035017887630203253,0,0.0,1.0,0,0.0,0.895523684029979,1,1.0
20.0,2,5.0,0.5,9.549004213998108,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.8441042447817401,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9334055231912585,0,0.0,1.0,1,4.0,0.0002005075542536532,0,0.0,0.82642459757938,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9222304650024118,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8467283410667736,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.46578181955047293,2,7.0
25.0,2,15.0,1.1538461538461537,10.500363455685562,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9422362732296572,0,0.0,1.0,0,0.0,0.9311395665604197,0,0.0,1.0,0,0.0,0.9135929146882483,0,0.0,1.0,1,9.0,0.0,0,0.0,0.9423287512204028,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6470428234270044,0,0.0,1.0,0,2.0,0.7706188795352894,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,6.0,0.619794630572091,2,19.0
30.0,4,17.0,1.1333333333333333,7.885268829431891,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9114315377642747,0,0.0,0.5172604588434039,0,0.0,1.0,1,1.0,0.4465331461305199,0,0.0,1.0,1,14.0,0.0,0,0.0,0.5134039940295702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9327335678807464,0,0.0,1.0,0,2.0,0.9860955948957902,0,0.0,1.0,0,0.0,0.9419292782853271,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,2.0,0.0035760040505010858,4,19.0
35.0,5,24.0,1.3333333333333333,8.319695092159364,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9407820958866984,0,0.0,1.0,0,0.0,0.6899241149830759,1,3.0,0.00031601185229935034,0,0.0,1.0,1,6.0,0.4916568668856025,0,0.0,1.0,0,0.0,1.0,1,3.0,0.4412559235617248,0,0.0,1.0,0,0.0,0.8714726130168327,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9209291688820752,0,0.0,0.9183676083125497,0,2.0,0.5258450028624464,0,0.0,0.9444218427671746,0,2.0,0.9404238329533157,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,12.0,0.19930410492739092,5,28.0
40.0,2,5.0,0.25,8.939126708402048,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6340134714353611,0,0.0,1.0,1,1.0,0.22960340292730536,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9406739736116715,0,2.0,0.9345281027575493,0,0.0,0.9419589482177234,0,0.0,0.8411451163829713,0,0.0,1.0,0,0.0,0.9345317727990466,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9328047889559137,1,6.0,3.0172472298330665e-05,0,0.0,0.9491586391256872,0,0.0,0.9403484480152133,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5181976048299938,2,9.0
45.0,2,12.0,0.5217391304347826,9.844666198876599,0,0.0,1.0,0,0.0,0.9278145853424147,1,3.0,0.00045889526269254075,0,0.0,1.0,0,0.0,0.9351962098910988,0,2.0,0.8260740009984033,0,2.0,0.9044183237566968,0,0.0,0.029923870785735798,0,4.0,0.9707586178562176,0,0.0,0.6200182340596527,0,0.0,0.46559782336316563,0,0.0,1.0,0,0.0,0.6468816947324362,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.386193082308281,1,11.0,0.0,0,0.0,0.9417352727897437,0,4.0,0.9250704862363373,0,0.0,1.0,0,0.0,0.9426330851305722,0,0.0,1.0,0,0.0,0.8752497000201402,0,0.0,1.0,2,26.0
