step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.758345755835778,0,0.0,0.9708389631804246,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9681437940797647,0,0.0,1.0,0,0.0,0.9130752373995618,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,10.386099850149254,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.943153021802776,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4779062563674027,0,0.0,1.0,0,0.0,0.7675182903026665,0,0.0,1.0,0,0.0
15.0,1,5.0,0.625,11.513802694189176,0,0.0,1.0,0,0.0,0.9713574147953907,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,0.5967757910296111,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9212818409502146,1,5.0
20.0,0,0.0,0.0,12.764762977974414,0,0.0,1.0,0,0.0,0.9573901311168104,0,0.0,1.0,0,0.0,0.9342764749176032,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9617853709370663,0,0.0,1.0,0,0.0,0.7601792613756476,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9450191086172814,0,0.0,0.9670472099278355,0,0.0,1.0,0,0.0,0.9475637960451602,0,0.0
25.0,0,0.0,0.0,11.994561563330352,0,0.0,1.0,0,0.0,0.37292111950716866,0,0.0,0.9704781777810173,0,0.0,0.867928920185162,0,0.0,1.0,0,0.0,1.0,0,0.0,0.988623620274754,0,0.0,1.0,0,2.0,0.9391215247600367,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9901900538600051,0,0.0,1.0,0,0.0,0.747995023557742,0,2.0
30.0,2,5.0,0.3333333333333333,10.195013038935079,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7450473302364126,1,1.0,0.4963600534141009,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9169256155774146,0,2.0,0.7722851005980375,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9793286130982596,0,0.0,1.0,0,0.0,1.0,1,4.0,0.5652723426329916,2,7.0
35.0,1,3.0,0.16666666666666666,10.648710653167702,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9518357984349465,0,0.0,0.752887879435496,0,0.0,0.9456010880439171,0,0.0,0.943153021802776,0,0.0,1.0,0,0.0,0.9254386753848592,1,3.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9595987242495577,0,0.0,1.0,0,2.0,0.7215005306743811,0,0.0,0.5816790586289003,1,5.0
40.0,1,1.0,0.05,11.08302168080734,0,0.0,1.0,0,0.0,1.0,1,3.0,0.4927956634028953,0,0.0,0.9428741623225886,0,0.0,0.925687989139776,0,0.0,0.9012351378469093,0,0.0,1.0,0,0.0,0.9277156493124118,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6309076349412869,0,0.0,0.9945742026171658,0,0.0,1.0,0,2.0,0.9182649115843168,0,0.0,0.019093030725610326,1,5.0
45.0,5,16.0,0.7272727272727273,8.468440606049613,0,0.0,1.0,0,0.0,1.0,2,11.0,0.3315410099782848,0,0.0,0.27401073720278657,0,0.0,0.8458590895955167,0,0.0,0.9750864786140125,0,0.0,0.9285962372376888,1,1.0,0.510749716471175,0,0.0,1.0,0,2.0,0.9747192097337265,0,0.0,1.0,0,0.0,0.9034108770969562,1,1.0,0.006789970627182092,0,0.0,0.9755752476698824,0,2.0,0.7980094790245251,1,5.0,0.0,5,22.0
50.0,6,35.0,1.4583333333333333,7.305156040893938,0,0.0,1.0,0,0.0,1.0,0,8.0,0.5409765036080988,1,5.0,0.4743422451684868,0,0.0,0.3806320899958448,0,0.0,1.0,0,0.0,0.9423126723489946,2,9.0,0.31383909182168995,0,0.0,1.0,0,2.0,0.921184886909595,0,0.0,1.0,0,0.0,0.9743196577200104,2,11.0,0.3267687603948886,0,0.0,1.0,0,0.0,0.7348805540230381,1,10.0,0.0,6,45.0
55.0,6,31.0,1.1481481481481481,7.734571231603424,0,0.0,0.9739990636949802,0,0.0,0.9933616271985871,0,6.0,0.10289373089589211,0,0.0,0.9108454064066347,2,7.0,0.31170539423650745,0,0.0,1.0,0,0.0,0.060254126214638874,1,2.0,0.00037238509521859563,0,0.0,0.9711993350479685,0,2.0,0.8617676543897167,0,0.0,1.0,0,0.0,0.48017660162648923,2,21.0,0.4809822892143362,0,1.0,0.9329541604783352,0,0.0,0.999409418248945,0,0.0,1.0,5,39.0
